text,category
"
Hi guys, 
I'm posting on here because my previous posts received support and I've found posting in here has helped me feel more connected to others. I was recently diagnosed with Adjustment Disorder and Generalised Anxiety Disorder. I'm seeing a psychologist for both and am dealing with ongoing pain due to tight muscles causing headaches etc.This pain and anxiety due to the pain has caused me to be getting 1-2 hours of sleep per night over the past week.
These headaches/pain tends to get worse at work as i have a high stress job (teacher) and i think i have begun associating my workplace with this pain. This morning was my first day back at work this term (Week 2) and I was so anxious that I was not able to go to sleep at all last night. I had constant tingling in my stomach/bum and legs plus racing thoughts. I did everything under the sun to go to sleep but I just couldn't (obviously this fueled my anxiety because imagine teaching a bunch of rowdy teens on an hours sleep). I've been awake since 9 o'clock yesterday and on my way to work this more i was in hysterics crying (I have never been this person so I was completely baffled to be so worked up). 
What I guess I'm asking is, how do I go about asking my psychologist to give me something for sleep/this anxiety as I cannot go through another sleepless night. I know psychologists can't prescribe medication but can she do anything? Is medication the right call? I feel like i've lost this battle that everyone seems to be doing just fine in and I'm somehow disappointed in myself for not being strong enough. I preach all day about how it's not weak to speak up but why the hell do I feel like a failure. 
Forever thankful for the support and feedback I receive here. 
",Anxiety
"
hello first time poster. Ive bee to the doc to get a mental health plan but im onto week 3 in waiting for the psychologist to ring me. We decided against medication but i didnt think id have to wait this long. Im so ready to deal with what im dealing with but i just cant on my own anymore.
We are in a very long process of renovating an old house. We have been living here 3 years now and i have got some fibro board tested for asbestos which came back positive. I have been having deliberating anxiety over how much we have been exposed to. For the past 3 years we have been living without care with fluffy raw edges of it right at our main door which gets slammed onto it, picked at, rubbed where we tuck a towel between the gaps to stop drafts. I have 3 small kids and i am petrified that we have been exposed to so many of those fibres. 
Since i have taken measures to seal the edges but that doesn't help the 3 years we have been exposed to it... i did some research on asbestos which has made my anxiety 10000 times worse coz no level of asbestos exposure is safe... i can't live the next 20 years worrying about getting a related disease. I cant eat properly, i cant sleep and my poor kids don't know what's wrong with me. I feel so stupid about it... any tips??? 
",Anxiety
"
I just wanted to open up about how I’ve feeling but I had no idea where to go. I’ve never fully talked to anyone about how I feel. When I’ve tried to people don’t seem to understand or I feel so damn judged. For example, I tried to open up to my really boyfriend but he decided he was entitled to tell all my other friends, proceeded to create a group chat after which I had a confrontation by two friends. So Ive convinced myself for the past few years that I am ok or whatever I’m feeling isn’t internalised, just a rough patch. Recently I’ve been feeling so run down and upset, I don’t  know why. School is tough but that doesn’t account for why I just start crying or feeling insecure all of a sudden. I have always had an overthinking issue but it’s been taking over all my thoughts these past few months. Sometimes I genuinely just hate myself and feel like I have no purpose in life which scares the crap out of me. I constantly get annoyed or frustrated at the most small things. I’ve held a lot in and been secretive, like coming out to my parents, my boyfriend which my parents don’t know about, my own insecurities- why I’ve been eating less. I genuinely just feel tired of life and I’m only 16...
this all feels a little silly and scary since I’m not used to opening up but thank god it’s anonymous :)  
",Anxiety
"
I’ve recently been diagnosed with adjustment disorder accompanied by anxiety. This all came about due to have tension headaches every day during work and the feeling of not being able to support my own head as my neck felt weak and sore. I didn’t think I was stressed about after talking to my doctors who referred me to a psychologist it seems that is the case due to ongoing trauma since I was a teen (I thought it was handling it). 
What I’m asking is, can anyone who has had a first hand experience with this disorder please let me know how you went about minimising the effects of the pain associated with it and what you did to help yourself feel better. 
I am going to a psychologist and she’s given me a sleep diary (I don’t sleep well, waking up 5-6 times a night) as well as given me some breathing techniques. These were all well and good while I was away from work but now that I’m back at work I’m worried the pain and headaches will come back. My doctor has given me pain medication but it makes me so tired I can’t function with it. 
Any advice would be great at this point, thank you. 
",Anxiety
"
Hi, my name is Jun, I'm one of those sensitive type. Sometimes I feel so alone cause I see and feel a lot, but no one really understands how I'm feeling and why I'm feeling this way. sometime when I'm alone by myself I would have some panic attacks and when I'm around people I feel like I'm being someone else.
Ami going crazy ?
",Anxiety
"
I have come to the realisation that anxiety will always be part of my life whether I like it or not. No matter what I try and do to make it better it will be there like an old friend. The hardest part is accepting this and managing it. So at the moment I am trying everything I can therapy, exercise, medication. I guess trying to find what works. My question is what works for you and how do manage anxiety long term? 
",Anxiety
"
Hi All
I have suffered from the dreaded Health Anxiety since I was a young child.  I have had so many diseases; mostly terminal...that haven't actually eventuated to anything.  However; I have really suffered in the last two years.  It all began after losing my job due to severe shoulder injury.  In that time I have had tongue cancer, throat cancer, pancreatic cancer, liver cancer, bowel cancer, ovarian cancer........had numerous tests etc all ruled out any pathology.
I do realise that major stress in my life brings this on.  Five weeks ago I began a new job.  It was full on; 9 hour days of skype training....within two days I had severe thoracic and chest pain and decided I had lung or pancreatic cancer.  I spent three weeks doing this job with the constant fear gnawing away at me and making the symptoms so much worse.  I had a thoracic spine and chest xray two weeks ago which ruled out cancer of lung but did show a herniated disc...which is now being managed by physio etc.  Deep down I still think there is something more sinister going on...and of course that makes the pain worse.
I thought that was bad enough.  But then I heard about Van Halen dying from throat cancer and almost immediately my throat began to hurt.  I absolutely loved him....I was so gutted to hear of his death.  This throat business started four days ago.  I took a torch and had a look and almost fainted when I saw one tonsil is huge and red and the other side has a yellow spot and looks so weird.  I am now convinced I have tonsil cancer.  It hurts constantly;  my ear hurts...I am so terrified and so convinced it is cancer.  I know....I went through all of this a year ago.  My horrible mind is now saying ""cancer can sneak upon one; regardless of clear mri 13 months ago""....I am now back on that rollercoaster from hell...of googling and rechecking and rewriting my will....I seriously cannot live like this.  I hide it from my beloved teenage son as much as I can.  My fear is all about him; not me.  I cannot leave him until he is at least 18!
I cry all the time; I have panic attacks; I google stuff and almost faint...I cannot sleep or eat.  I KNOW what I am doing is totally nuts.  I have been doing this shite since forever...I feel a prisoner of my own mind.  I have seen so many professionals and had so many medications thrown at me.  Nothing works.  I am truly at my wits end.  
I have made an appointment to see my gp tomorrow and am terrified. 
thanks :(
",Anxiety
"
Hi all,
I work in technology sales and have struggled with debilitating anxiety for over 15 years. It's a field where you are expected to be fearless, confident and tackle challenges. I recently started a new job which is intense and everyone is extremely confident and extroverted. The company is all about raising the bar, and getting comfortable with being uncomfortable. I have always had an overwhelming sense of dread when it comes to my job. I don't fit the sales mould - I am introvert, hate networking, hate social events, and like to stay in my comfort zone. 
A few years ago when I came out of university I landed in tech sales and was asked to do a presentation at a conference in my first 2 months. I suffocated with fear, had sleepless for weeks in the lead up. On the day my mouth was dry, I felt dizzy with fear, felt like I couldn't breathe and rushed through my 1 hour long presentation in 15 minutes. It was one of the most humiliating days of my life. 
Today, I still think back to that incident. I still suffer from debilitating anxiety and with my new job I have training coming up next week. Part of that training is the most dreaded thing I have encountered in my life ""Sales Role Plays"" which are done in front of a group. I have been losing sleep over this, neglecting my 12 week old child, and feeling overwhelmed with what I will be faced with next week. I have low confidence, and everyone else makes these things look easy with their confidence. In the past I have avoided things like this by pretending I was sick, or simply not showing up to activities that involve presenting or role playing. 
I am struggling to cope. I am having thoughts about quitting my new job already and am feeling overwhelmed, stressed and anxious beyond belief. This weekend is going to be a nightmare for me as I count down to the dreaded training starting on Monday as if I am counting down my last days on death row. 
Is there anyone who can help? 
",Anxiety
"
Hello,
 
i have ave been on here a few times and here I am again.  I have No idea how to deal with my overwhelming health anxiety.  Ever time  time I am due for bloods, mammogram etc etc my anxiety gets out of control.  The tears are rolling down my face as I writing this post.  I am due for my 2 year mammogram tomorrow and I am beside my self, cannot eat, cannot get out of bed and Crying constantly.  I always think the worse is going to happen and I understand people get anxious but my anxiety affects my well being takes over my mind.  I’m just not me......I’m so bloody scared that I’m dying.  I try to get out of bed and get on with it however I’m really struggling ATM. I know I should try to focus on something else’s but I just seem to do that ATM.  I know many people who have had/have cancer and it really scares me.  I have tried counselling but never seem to click with anyone that understands me.  I have that horrible  knot in my stomach all day and often through up!  The only time I feel relaxed is if I have a couple of wines in the evening and funny enough the knot disappears.  I actually sleep ok but every morning  wake up with that anxious knot every morning  this does not go away until I get back my results.  I have a wonderful Mum, and girlfriend I discuss this with but I’m sure at times they are saying come on girl get your  self together.  My husband is not so supportive he just says you will be fine as always.  I just need someone to hold me tight and tell me all will be ok.  Cannot type anymore as I cannot see through the teats.  Thanks for  listening 
 
 
",Anxiety
"
I have pretty much had anxiety my whole life, it has prevented me from doing sports i like, catching up with friends and  many other things. I am currently seeing a psychologist, but every time i see her i feel 100X worse and i feel no emotions and like i want to curl up in bed and not see anyone for a week. I am really insecure and it affects my relationship, i feel like i make his life 100x harder then it should be, and then i feel even worse. I have improved a bit but the last few days i feel like im back to square one and it makes me feel like why an i even trying. I will keep trying though, i just dont wanna wake up in the morning knowing i have to get through a whole day feel sick in my stomach and anxious about most things throughout my day. I just want help. Im sorry if this post was really negative i just want some advice on how im feeling right now and things to do. 
",Anxiety
"
I’m a new time mum with a week old baby boy, iv suffered with anxiety since I was young. 
im 22 and now suffering with baby blues. I have the most supportive partner and family around me but I have days where I will just cry for reasons that are months down the track or will just get a sick sinking feeling in my stomach. 
just wanting to talk to people who may have been through this and Hear their story that my help me see the light at the end of the tunnel. 
",Anxiety
"
Hi.
I am extremely anxious about the current covid pandemic.
Feel as though it is living in my brain but my body feels the symptoms.
It causes me such panic and terror and all consuming
Trying to challenge my thinking but ver hard.  
Any one else feel this. Any advice appreciated.
Thankyou.
",Anxiety
"
Hello BB community.
So im posting to try and understand myself a bit more. 
I get very anxious and saddened when i hear about the abuse or exploitation of children. To the point where i feel almost uncontrollably edgy, and depressed.
most cases its watching movies. 
In artificial intelligence the robot child is Deliberately left behind in the forrest by his ‘family’.
i cannot even bring myself to watch one of my kids movies - Onward.
most recently was a thriller called ‘True Story’ which is based on a guy that murders his 3 children. I cried a bit, well maybe more than i care to admit.
other times its watching the news. I remember a segment that was presented by nuala hafner, where she broke into tears as i did about the segment. Just horrifying.
just today i learned of a person, that i have never met, that was sexually abused Almost daily from the age of 5 to her mid teens. I felt an instant pain in my chest and a sickening feeling in my stomach. 
Having not been a victim of abuse or exploitation, where does the feeling come from, and how is it best to deal with this?
Not_Batman
 
 
",Anxiety
"
Hello, I am a 22 year old male.  Recently after a tough time in life, I was diagnosed with GAD.  Been getting headaches for a few weeks already, went to get a CT scan done and a full physical examination with the results being negative for anything serious.  I am aware that anxiety can cause headaches, but is it normal to feel them even on days that you don't feel anxious?  And is it normal to get them so often daily? Recently these headaches has been causing me even more anxiety, because I am pretty worried that what if the Doctor missed something, or what if the tumours somehow grew after I had the CT etc and other thoughts like these.  
The headaches themselves are not terrible, definitely not ass bad as what I make them out to be, but they have been causing me a huge inconvenience in my daily life with how annoying and frequent they are.  Cannot really think or do much except worry if it is something serious.  Been adjusting my whole schedule and activity based on how bad the headaches could possibly get.  Tried to exercise and lead a healthier life, but the discomfort still doesn't seem to go away.  Been also feeling pretty down because my appointment with the psychologist won't be until a month later, and any further tests like MRI would need to be ordered, take more time to find an appoint and would cost a lot of money too.  
 
Im sorry if my structure is all over the place, but its been so frustrating.  I know deep inside that I could probably undergo every single test under the sun, and nothing would come up, but I cannot seem to convince myself that everything is okay and fine with me.  It is like the headaches are demanding to be felt.
 
Anyone has any experience with this? Thank you very much.
",Anxiety
"
Hey everyone, 
bit of a back story for you to get an idea of my situation! I’ve suffered severe anxiety for 8 years it first because me apparent during a very toxic relationship! I became so anxious that suicide cane to mind! I came out of that state with finding my own calmness for my anxiety! 
last week my anxiety became so bad that I convinced myself that everyone is out to get me this all occurred due to an argument with my partners family which might I add his brother and partner attacked me out of pure guilt deflection, as in they won’t blame themselves so they found the next best and it happened to be me! Since this has happened my anxiety is to the point where I cannot go to work, I have the anxiety feeling in my chest of tightness and heaviness, I cry all of the time, and I shake at times! 
cleaning and organising was my calming before but now even that’s not working! Would really love to hear some tips because getting a psychologist appointment soon is not happening! 
",Anxiety
"
Hi guys, about few months ago I went to get a diagnosis. The doctor told me I have depression and anxiety that has been ongoing and gotten worse now. He also made me a Medicare plan thing to see a phych. 
When I had my first session with the psych. She was really nice though I felt she downplayed my condition abit as I told her many days I am unable to keep up with daily appointments and do activities as I cannot get out of bed and always locked up in a room.
Now during this hard COVID times my Centrelink job provider has been very rude and pushy even when I told them I cannot work. They told me to see a doctor. 
I am able to see the doctor but I don’t know how to start the conversation on what I need. Could someone please help me on what I should bring up and what to ask the doctor for?
 
Thanks
",Anxiety
"
I've been reading a lot about how essential oils help with anxiety, stress, and better sleep. Are there specific oils for this? 
",Anxiety
"
I am not sure if I should be posting here but here it goes.
I have been having anxiety for the past 10+ years. Usually comes and goes. However for the past 2 months my anxiety and worry thoughts have escalated and I feel like i am out of control. I lost my appetite so only eat because it is ‘necessary’, i keep waking up every night at 3/4am with panic attacks or anxiety/thoughts, i cant focus and feel like i am not completely present.  
I have been on unpaid maternity leave for past 10months and due to Covid i had to start looking for new job. I was lucky to have found a job which I am meant to start in couple of weeks time. I should be happy but instead I feel like a failure, feel not good enough, questioning my decisions, feel like im incompetent, etc. in addition to that, I worry about my baby and how he will be without me. Mum will look after him but he hasnt seen her that often due to Covid restrictions so is not relaxed with her, plus im not sure if she will feel anxious too. I was hoping to do only 3days but due to finances and the type of job i need to do 4 full days instead. This means i probably wont see my baby at all for whole 4 days! Im anxious that we will loose the bond and that he wont be happy or that i wont be happy. I feel like a terrible mother. Plus I worry about the new job and learning new things with my current mental state. Additionally, i will work in health field so i worry i will catch the virus and spread it to my family! 
I really dont know what to do, i feel like i am being dramatic and ungrateful especially at this time but I just cant help my anxiety. It is killing me inside.
",Anxiety
"
I have suffered with anxiety on/off for most of my teenage/young adult life. 
I often to get the usual symptoms when my anxiety is heightened - trouble sleeping, nausea, feeling on edge etc.
My partner & I had sex, after this happened, a rush of emotion hit me and I burst into tears and was convinced that I didn't love him anymore which was making me feel 10x worse because I really do!
I went to sleep feeling shitty but woke up a few hours later feeling very suicidal - which has never happened before. My head felt heavy and I didn't feel like I was in control of myself. I managed to get through this and went back to sleep. When I woke up, the feeling had subsided to the normal feelings of my anxiety. As well as this, the feeling of not feeling any emotions to my partner will not go away. He is trying to comfort me but I feel nothing. It's making me feel worse & I'm scared the feeling won't go away.
Is this a normal symptom of anxiety? 
Any advice or thoughts would be much appreciated 
",Anxiety
"
Hello everyone,
I’m currently 20 years old and haven’t had any paid employment (main source of my worries). I’m also a carer for both my grandparents and brother, as well as being a full-time student studying a double major in History and Anthropology/Sociology. At the moment I’ve managed to commit myself to seven volunteer programs, two involving education for disadvantaged children, three museum/heritage programs and another two for cancer charities. Next year I’m going to study part-time while taking a Cert 3 in Health Administration to secure a temporary backup plan as a medical receptionist until I can (hopefully) secure a career in the museum sector.
Despite my volunteer experience for the previous three years, I can’t find a job. I keep applying for many on Seek and Indeed, however, I either receive no response or told my family obligations are impractical for employment (quite understandable, I suppose).
Anyhow, it just makes me feel completely inadequate that I can’t secure any form of employment and quite despondent when looking towards the future. I’m just so anxious about never getting a job and feeling as though I’m so hopeless at everything.
Sincerely,
Courtney D.

",Anxiety
"
COVID made me realize how fragile we are... it has now given me a new form of anxiety... anxiety about losing loved ones. Does anyone else feel this way? 
",Anxiety
"
Hi everyone,
I'm having a horrible week, so just thought I would post to see how everyone else is going?
I'm having a hard time getting out of the shame spiral this week, but trying to remember this is only temporary. 
Anyway, hope others are well, happy to chat about anything.
",Anxiety
"
Hi,

My boss's boss called me out at work in front of a small forum of colleagues. 
And this has triggered anxiety in me and a real loss of self confidence in anything work related - regardless of whether it has something to do with him or not.

But it gets real bad whenever it has something directly to do with him - a meeting, an email etc. I can't properly sleep in the days leading up to knowing I have a meeting where he will be in it as well. And even worse the meeting he called me out in with the same forum of people happens on a semi regular basis.

I keep telling myself I have to learn how to work under difficult bosses - not all are or will be the more ""people people"" kinda bosses, but finding it real hard to cope as the anxiety just rises so high at the thought of him.

Wondering if anyone else has been in this position? What did you do?
",Anxiety
"
Apologies for this post. It might seem like a small thing, but it causes me lots of other worries like too much food, not having something defrosted to cook, not having any good ideas for meals, eating too much, food going bad in the fridge, too much leftovers, wasting food, too many dishes to wash, kitchen getting untidy, house getting untidy because of too much time spent in kitchen etc. etc.
I was born in the 70s to a Scottish born mum and an 1st generation Australian father. I grew up in an anglo centric family. 
I married an Italian lady. We have 2 daughters. We do a few things different to what a lot of Anglo Australian families would have done. For example, lunch is the main meal of the day for us. This means during the week we have a big pasta dish as soon as the wife and daughters get home from school (wife is a teacher). This will be around 3:30-4:00. This is considered to be lunch. It might sound strange to you, but in Italy lunch is the main meal of the day. It is also the same in a lot of European countries. In Italy shops and businesses will close in the afternoon for everyone to go home for lunch and siesta. Then for some jobs you go back to work after siesta. 
Anyways after the lunch meal at 3:30-4:00 we will then have dinner at around 7:00. This is often meat and vegetables or meat and salad. It is a more low key meal than the lunch. 
It means more cooking, more dirty dishes and more tidying up because of two big meals we have prepared. It probably sounds strange to some people? Especially those who grew up in anglo centric homes where you have a hot dinner as a main meal? Thoughts?
",Anxiety
"
In 2017, the stress of my final year of secondary school twisted my anxiety into Irritable Bowel Syndrome (IBS). My anxiety was originally stomach pains on varying levels, but IBS feels so much worse. Today, I still struggle with anxiety in combination with IBS and seeking various treatments such as the low FODMAP Diet. Has this happened to anyone else? How do you cope with having anxiety and something so uncontrollable as IBS?
",Anxiety
"
This is my first post so Thankyou for reading. 11 years ago I lost my dad to a car accident, where his car ran into a tree after coming home from a nearby town. I live in a small town of roughly 3000ppl and if anyone knows living in a small town, when you hear those sirens tearing out of town you know something disastrous has happened. I remember this day as it happened yesterday. I heard those sirens tearing out of town, and knowing my dad was on the roads, my heart just sank and I had the most horrible gut feeling I’ve ever experienced. This has caused major anxiety issues and to this day, every time I hear sirens around town I always go into a silent panic. Now days when siren go off people all over Facebook etc, post ‘where are those sirens going’ ‘what’s happened around town’ etc and as I don’t always read them, but I want people to understand that anytime they hear them, sometimes there is a family that’s about to be given disastrous news. And that to some people there is an anxiety attack associated with the sound. I know that it’s a way for as towns to stay connected but I also want people to understand that there is also another side to just ‘keeping in the know’ Please help me I understand as I don’t know how to control my anxiety. As the anniversary of my dads passing  is near id like to bring this up, but im in two minds as I also do understand that it’s a way the town stays connected but it’s also people just being insensitive and stickybeaks. 
",Anxiety
"
I think I may be suffering anxiety. 12 months ago my son committed a minor offence through sending a 'sext'.  Police visited our house as a result. At the same time i was dealing with a very stressful work environment and had ongoing issues with recurring shingles. While my sons offence was dealt with as a warning and I felt like I dealt with the situation at the time, 12 months later I can not get the experience out of my head. I relive it daily. I feel like the whole situation has ruined our relationship as I just can not let it go. How long is normal for overcoming a stressful event?While the offence was minor compared to other people's experiences, it was not something I was prepared for. I have done a lot of soul searching the last year and want to find strategies to ensure the past becomes the past.
",Anxiety
"
I just failed my first exams at univeristy. I get to sit a supplementary exam, but I set really high standards for myself, and I have never done this badly before. I feel like a complete failure - being smart is the only feature about myself I like. I want an excuse, someone to blame, but there are none. 
And I don't know anyone to talk to. I have given up on being honest with my parents, because it always ends with my parents talking about my problems to their friends and family without my consent. I then have to face these people, find out that they know things about me that I consider very private, and I feel awful and embarrassed, which I hate. I tell my family I haven't made many friends here because of COVID, but fact is I have never been good at making friends. I feel like I have nothing in common with other girls my age, and I just have no interests. 
I feel empty. And if these years are meant to be the best years of my life, I dread the future.
Wondering if anyone else has felt this way, and has any tips? 
",Anxiety
